dma_code,dma_name,state,lat,lon,adoption_rate,household_count
575,Chattanooga,TN,44.2327,-114.4111,0.0747,271241
531,Tri-Cities TN,TN,35.8743,-102.2,0.0748,231968
522,Columbus GA,GA,42.0819,-121.0843,0.0546,335481
698,Montgomery,AL,41.7115,-103.9358,0.0588,316284
691,Huntsville,AL,37.9891,-118.9783,0.0637,164828
642,Lafayette LA,LA,30.0432,-109.5185,0.0742,65755
716,Baton Rouge,LA,31.5403,-86.4785,0.0722,266382
692,Beaumont,TX,41.1815,-77.5379,0.0705,257833
625,Waco,TX,45.9238,-95.182,0.0495,216467
709,Tyler,TX,29.1218,-89.6543,0.0477,267988
636,McAllen,TX,33.244,-121.2089,0.0719,91434
800,Bakersfield,CA,29.633,-81.7573,0.069,79929
866,Fresno,CA,30.3727,-121.4573,0.0529,334964
828,Monterey,CA,45.8508,-92.7799,0.0575,67652
855,Santa Barbara,CA,32.6495,-116.8558,0.0608,129645
868,Chico-Redding,CA,31.5323,-78.1844,0.0529,374604
813,Medford,OR,42.8102,-108.3718,0.0542,307190
682,Quad Cities,IA,33.2752,-84.2271,0.0652,176307
637,Cedar Rapids,IA,28.3595,-98.2343,0.0461,144329
10107,Davenport,IA,46.2255,-117.0048,0.0592,271585
675,Peoria,IL,38.6452,-80.2299,0.0647,310649
610,Rockford,IL,32.196,-111.2104,0.0542,149136
648,Champaign,IL,41.7811,-92.1091,0.07,257178
7342,Springfield IL,IL,44.3213,-121.33,0.0745,372915
649,Evansville,IN,32.9841,-114.3274,0.0672,89294
509,Ft. Wayne,IN,35.4272,-98.2207,0.065,192814
588,South Bend,IN,41.5074,-119.8738,0.063,142177
582,Lafayette IN,IN,36.6936,-109.6276,0.0497,217452
581,Terre Haute,IN,38.6679,-110.511,0.0742,207292
5244,Bloomington IL,IL,28.0208,-104.0635,0.0557,293849
603,Joplin,MO,40.7923,-110.3356,0.0534,47595
604,Columbia MO,MO,43.9324,-115.2383,0.0477,352652
543,Springfield MA,MA,28.4386,-107.7005,0.0463,167059
552,Worcester,MA,46.6739,-81.8974,0.0475,126396
7881,Manchester NH,NH,42.0532,-98.773,0.0679,193990
3908,Bangor ME,ME,44.2881,-80.0787,0.0463,373902
516,Erie PA,PA,41.6705,-98.2396,0.0579,319599
577,Wilkes Barre,PA,39.0854,-83.7934,0.0676,53430
566,Harrisburg,PA,39.3892,-80.037,0.0698,165555
574,Johnstown,PA,28.8163,-92.0554,0.0476,100006
564,Charleston WV,WV,36.802,-119.6133,0.0563,54877
554,Wheeling,WV,41.273,-99.0032,0.0638,46737
598,Clarksburg,WV,29.3672,-78.1723,0.0587,325598
597,Parkersburg WV,WV,38.2568,-86.9508,0.0478,293438
559,Beckley WV,WV,29.4518,-109.5188,0.0526,152593
558,Lima OH,OH,40.6737,-100.364,0.0519,245571
569,Mansfield,OH,45.7541,-108.496,0.0473,69509
596,Zanesville,OH,40.5339,-118.3588,0.0635,122293
6989,Steubenville,OH,42.4927,-107.6924,0.0526,342670
821,Bend OR,OR,37.4072,-99.1675,0.049,97176
802,Eureka,CA,41.1763,-108.3297,0.0658,315813
804,Palm Springs,CA,37.085,-85.943,0.0536,332874
771,Yuma,AZ,47.0735,-77.996,0.051,54177
6497,Flagstaff,AZ,43.988,-76.4989,0.0588,280641
760,Twin Falls,ID,35.5435,-78.9219,0.0748,155472
761,Pocatello,ID,29.7609,-86.8681,0.0472,182263
766,Helena,MT,30.5858,-83.4498,0.0736,311728
755,Great Falls,MT,30.1972,-104.8361,0.0534,306036
754,Butte,MT,37.4797,-120.8328,0.0719,46882
798,Glendive,MT,41.291,-102.9453,0.0735,118771
764,Rapid City,SD,35.3341,-116.3173,0.0575,218709
687,Mitchell SD,SD,42.6393,-82.5618,0.0451,107936
688,Aberdeen SD,SD,31.817,-121.4491,0.0732,196955
5835,Minot ND,ND,35.6615,-75.0568,0.0562,353898
2938,Bismarck,ND,36.347,-109.0677,0.0558,70306
6321,Grand Forks,ND,44.2762,-108.5757,0.0481,123074
5771,Williston,ND,36.5067,-107.1667,0.0741,240742
8751,Anchorage 2,AK,43.8333,-92.3479,0.0715,335535
745,Fairbanks,AK,42.0317,-119.6746,0.0615,260422
747,Juneau,AK,42.677,-91.7089,0.0585,195055
746,North Slope,AK,45.7822,-96.1449,0.0596,134528
9480,Hilo,HI,33.494,-109.9801,0.0574,181403
8399,Kahului,HI,33.8663,-95.8059,0.0647,251762
3705,Lihue,HI,31.1523,-112.23,0.05,305610
