panelist_id,age_band,region,category,months_on_glp1,pre_glp1_size,post_glp1_size
P00077,45-54,Northeast,womens_bottoms,24,1X,L
P00078,45-54,Southeast,womens_tops,19,L,M
P00079,65+,Northeast,womens_dresses,10,S,S
P00080,35-44,Southeast,womens_tops,16,XL,XL
P00081,25-34,Southwest,mens_tops,13,L,M
P00082,25-34,Midwest,mens_tops,7,1X,1X
P00083,45-54,Southeast,mens_bottoms,22,L,M
P00084,25-34,West,womens_dresses,12,L,S
P00085,55-64,Midwest,womens_tops,17,2X,2X
P00086,35-44,West,womens_bottoms,14,XL,L
P00087,55-64,Northeast,mens_bottoms,7,3X+,2X
P00088,55-64,Southeast,mens_tops,20,2X,XL
P00089,55-64,Southeast,mens_tops,12,S,S
P00090,55-64,Southeast,womens_bottoms,6,2X,1X
P00091,25-34,Northeast,mens_bottoms,19,XL,M
P00092,65+,West,womens_tops,8,XL,XL
P00093,45-54,Southwest,mens_bottoms,4,M,S
P00094,35-44,West,mens_tops,14,1X,XL
P00095,25-34,Northeast,mens_tops,11,1X,L
P00096,65+,Northeast,womens_tops,14,L,L
P00097,35-44,West,womens_tops,15,XL,M
P00098,55-64,Northeast,womens_bottoms,20,XL,L
P00099,65+,West,womens_tops,11,1X,XL
P00100,25-34,Southeast,womens_bottoms,15,1X,XL
P00101,45-54,West,mens_tops,5,XS,XS
P00102,45-54,Southwest,mens_tops,3,XS,XS
P00103,35-44,Southeast,womens_tops,17,M,XS
P00104,45-54,Midwest,womens_tops,18,XL,S
P00105,55-64,Midwest,mens_bottoms,12,1X,XL
P00106,65+,Midwest,womens_tops,16,L,L
P00107,35-44,Northeast,mens_tops,18,1X,L
P00108,65+,Midwest,womens_tops,17,XL,L
P00109,25-34,Southeast,mens_bottoms,14,1X,1X
P00110,45-54,Northeast,mens_bottoms,5,L,XS
P00111,45-54,Northeast,mens_tops,8,2X,XL
P00112,45-54,Northeast,womens_tops,19,S,XS
P00113,45-54,West,mens_tops,16,M,S
P00114,55-64,West,womens_tops,24,2X,XL
P00115,45-54,Southwest,womens_tops,6,2X,2X
P00116,35-44,Northeast,womens_bottoms,6,XL,XL
P00117,65+,Southeast,mens_tops,20,2X,1X
P00118,45-54,West,mens_bottoms,16,L,M
P00119,25-34,Southeast,womens_tops,4,2X,1X
P00120,35-44,West,womens_dresses,8,M,S
P00121,55-64,Southeast,womens_bottoms,18,1X,L
P00122,25-34,Southeast,womens_dresses,8,1X,1X
P00123,25-34,West,mens_bottoms,8,L,M
P00124,35-44,Southeast,womens_bottoms,8,L,L
P00125,35-44,Northeast,womens_dresses,12,1X,M
P00126,35-44,Southeast,mens_bottoms,17,1X,1X
P00127,55-64,Southwest,mens_bottoms,17,XL,L
P00128,55-64,Northeast,mens_tops,9,M,S
P00129,55-64,Midwest,mens_tops,6,L,L
P00130,45-54,Northeast,womens_bottoms,14,2X,1X
P00131,45-54,West,womens_bottoms,5,2X,1X
P00132,35-44,Southeast,womens_dresses,12,L,M
P00133,65+,West,womens_tops,20,L,S
P00134,35-44,Southwest,mens_bottoms,19,3X+,2X
P00135,45-54,Southwest,womens_tops,23,2X,1X
P00136,65+,Midwest,womens_bottoms,4,L,L
P00137,35-44,Midwest,mens_bottoms,13,L,M
P00138,55-64,Midwest,womens_dresses,11,1X,XL
P00139,35-44,Northeast,womens_bottoms,9,2X,2X
P00140,25-34,Midwest,womens_tops,11,3X+,1X
P00141,55-64,Southwest,womens_tops,3,1X,XL
P00142,25-34,Midwest,mens_bottoms,12,L,M
P00143,35-44,Southeast,womens_bottoms,16,1X,M
P00144,25-34,West,mens_bottoms,7,2X,2X
P00145,25-34,Southeast,womens_tops,16,2X,1X
P00146,35-44,Midwest,womens_dresses,15,L,L
P00147,25-34,Northeast,mens_tops,19,M,XS
P00148,35-44,Southwest,mens_tops,20,1X,XL
P00149,35-44,Northeast,mens_tops,6,XL,XL
P00150,65+,Midwest,womens_bottoms,22,2X,2X
P00151,65+,West,mens_bottoms,14,M,XS
P00152,65+,Northeast,womens_dresses,10,S,S
P00153,25-34,Southeast,womens_bottoms,10,M,XS
P00154,45-54,Southwest,womens_dresses,23,M,M
P00155,55-64,West,womens_tops,9,XL,L
P00156,45-54,Southeast,womens_bottoms,8,L,S
P00157,25-34,Southeast,womens_dresses,21,L,S
P00158,55-64,West,womens_dresses,9,M,XS
P00159,25-34,West,womens_dresses,20,3X+,2X
P00160,55-64,Southwest,womens_dresses,17,1X,L
P00161,35-44,West,mens_tops,18,1X,1X
P00162,25-34,West,mens_tops,14,XL,M
P00163,55-64,Midwest,mens_bottoms,4,XL,XL
P00164,25-34,Midwest,womens_tops,9,XS,XS
P00165,25-34,Southeast,mens_bottoms,24,1X,L
P00166,65+,Southwest,womens_dresses,12,L,S
P00167,55-64,Midwest,mens_bottoms,6,L,M
P00168,55-64,West,mens_tops,10,1X,XL
P00169,55-64,Northeast,womens_bottoms,14,XL,L
P00170,55-64,Southeast,mens_tops,15,1X,L
P00171,45-54,West,mens_tops,5,1X,XL
P00172,55-64,Midwest,mens_bottoms,22,2X,XL
P00173,35-44,Northeast,mens_bottoms,16,2X,1X
P00174,45-54,Southwest,mens_tops,20,1X,XL
P00175,25-34,Northeast,mens_tops,17,XL,L
P00176,45-54,Southeast,mens_tops,11,1X,1X
P00177,25-34,Midwest,womens_dresses,7,2X,2X
P00178,45-54,Northeast,womens_bottoms,14,L,M
P00179,25-34,West,womens_dresses,14,L,S
P00180,45-54,Northeast,mens_tops,15,L,M
P00181,35-44,Southeast,womens_bottoms,10,1X,1X
P00182,45-54,Midwest,womens_tops,23,1X,L
P00183,65+,Northeast,womens_dresses,14,XL,L
P00184,25-34,Northeast,mens_bottoms,22,XL,M
P00185,25-34,Southeast,mens_bottoms,11,M,M
P00186,45-54,Midwest,womens_bottoms,9,XL,L
P00187,35-44,Southwest,womens_dresses,8,M,XS
P00188,45-54,Midwest,womens_dresses,10,2X,1X
P00189,55-64,Southwest,mens_bottoms,19,1X,XL
P00190,35-44,Midwest,womens_bottoms,20,M,S
P00191,25-34,Southwest,mens_bottoms,14,1X,L
P00192,65+,West,womens_tops,22,S,XS
P00193,35-44,Northeast,womens_bottoms,9,M,M
P00194,45-54,Midwest,womens_bottoms,23,M,XS
P00195,45-54,Southwest,womens_dresses,19,L,XS
P00196,55-64,Midwest,mens_tops,15,M,M
P00197,35-44,Midwest,womens_dresses,17,1X,XL
P00198,45-54,West,womens_tops,16,1X,M
P00199,55-64,Midwest,womens_tops,21,XL,L
P00200,35-44,Northeast,womens_bottoms,13,M,M
P00201,35-44,Northeast,mens_tops,20,S,S
P00202,65+,Southeast,womens_tops,18,L,S
P00203,35-44,West,womens_bottoms,16,XL,L
P00204,45-54,Midwest,womens_dresses,8,2X,1X
P00205,25-34,West,womens_dresses,20,S,XS
P00206,25-34,Southwest,womens_tops,19,1X,1X
P00207,55-64,Midwest,womens_bottoms,20,M,M
P00208,25-34,Southeast,womens_dresses,5,XL,L
P00209,65+,Midwest,womens_dresses,5,1X,XL
P00210,45-54,West,mens_tops,11,1X,1X
P00211,25-34,Southwest,womens_tops,11,1X,XL
P00212,45-54,Northeast,womens_dresses,14,L,L
P00213,55-64,Midwest,womens_dresses,15,2X,XL
P00214,65+,Southwest,womens_dresses,9,XL,L
P00215,65+,Southeast,womens_bottoms,21,1X,M
P00216,35-44,Northeast,womens_bottoms,20,XL,XL
P00217,25-34,West,womens_tops,10,M,XS
P00218,45-54,Midwest,womens_dresses,4,1X,1X
P00219,25-34,West,mens_tops,11,1X,1X
P00220,35-44,Southwest,womens_tops,19,1X,XL
P00221,65+,Northeast,mens_bottoms,22,L,L
P00222,65+,West,womens_tops,24,1X,XL
P00223,25-34,West,mens_bottoms,17,L,XS
P00224,45-54,Midwest,womens_tops,5,XL,L
P00225,45-54,Northeast,mens_bottoms,13,XL,L
P00226,25-34,Southeast,mens_tops,23,2X,1X
P00227,25-34,Southeast,womens_dresses,23,L,S
P00228,25-34,Southeast,womens_bottoms,6,M,S
P00229,45-54,Southwest,womens_bottoms,24,XL,M
P00230,35-44,West,womens_tops,22,2X,2X
P00231,45-54,Midwest,womens_bottoms,10,2X,2X
P00232,45-54,Midwest,womens_tops,10,M,M
P00233,45-54,Midwest,mens_tops,17,XL,L
P00234,35-44,Midwest,mens_bottoms,11,2X,2X
P00235,35-44,Southeast,womens_bottoms,12,L,M
P00236,35-44,West,womens_bottoms,14,1X,M
P00237,35-44,Southwest,mens_tops,15,3X+,2X
P00238,25-34,Midwest,womens_dresses,6,M,M
P00239,45-54,Midwest,womens_bottoms,12,XL,XL
P00240,65+,Midwest,womens_dresses,14,XL,M
P00241,25-34,Southwest,mens_tops,13,2X,1X
P00242,55-64,Southwest,mens_bottoms,24,L,L
P00243,65+,Midwest,mens_bottoms,15,L,L
P00244,25-34,Northeast,womens_bottoms,18,M,S
P00245,25-34,Northeast,mens_tops,20,1X,M
P00246,35-44,Southeast,womens_dresses,10,S,XS
P00247,45-54,Southeast,womens_dresses,4,L,S
P00248,55-64,Southeast,womens_bottoms,24,1X,L
P00249,35-44,West,womens_dresses,4,XL,L
P00250,55-64,Southwest,womens_dresses,21,L,S
P00251,45-54,Midwest,mens_tops,18,1X,XL
P00252,35-44,Southwest,mens_bottoms,7,3X+,3X+
P00253,65+,Southwest,womens_dresses,8,S,S
P00254,45-54,West,womens_bottoms,24,1X,M
P00255,25-34,Southeast,mens_tops,14,XL,XL
P00256,65+,Southeast,womens_dresses,17,L,S
P00257,25-34,West,mens_tops,11,1X,L
P00258,55-64,Southeast,mens_bottoms,16,L,S
P00259,55-64,Midwest,mens_tops,17,XL,M
P00260,65+,Southeast,mens_tops,20,M,S
P00261,25-34,Southwest,mens_bottoms,24,L,S
P00262,55-64,Southeast,mens_tops,3,XL,S
P00263,35-44,West,mens_bottoms,18,L,M
P00264,55-64,Northeast,mens_tops,21,L,S
P00265,65+,Northeast,womens_dresses,3,XL,L
P00266,45-54,West,womens_bottoms,13,S,XS
P00267,65+,Southwest,womens_tops,23,2X,2X
P00268,25-34,Southeast,mens_bottoms,17,1X,1X
P00269,65+,Northeast,womens_tops,13,L,L
P00270,25-34,Midwest,mens_tops,23,3X+,2X
P00271,35-44,West,womens_tops,11,2X,L
P00272,55-64,Southwest,mens_bottoms,4,3X+,1X
P00273,65+,Southeast,mens_bottoms,5,S,S
P00274,25-34,Southeast,mens_tops,16,S,XS
P00275,25-34,Midwest,womens_tops,12,L,M
P00276,45-54,Southeast,womens_bottoms,3,XL,XL
P00277,35-44,Midwest,mens_tops,23,L,M
P00278,25-34,West,mens_tops,9,M,S
P00279,65+,Northeast,womens_bottoms,10,L,M
P00280,55-64,Northeast,mens_bottoms,10,1X,1X
P00281,55-64,Northeast,womens_tops,19,XL,M
P00282,25-34,West,mens_tops,6,L,S
P00283,35-44,Southwest,mens_bottoms,20,L,XS
P00284,55-64,West,womens_dresses,23,M,S
P00285,35-44,Northeast,mens_tops,24,1X,1X
P00286,45-54,West,womens_dresses,14,M,XS
P00287,65+,Southeast,womens_dresses,22,2X,1X
P00288,65+,Southeast,womens_bottoms,13,XL,M
P00289,65+,Northeast,womens_dresses,7,2X,XL
P00290,35-44,Midwest,mens_tops,15,L,M
P00291,65+,Southwest,womens_bottoms,21,XL,XL
P00292,35-44,Southwest,mens_bottoms,23,L,S
P00293,25-34,Northeast,womens_dresses,13,1X,1X
P00294,65+,Northeast,womens_bottoms,13,XL,S
P00295,45-54,Southwest,womens_bottoms,20,L,S
P00296,25-34,Northeast,mens_tops,20,S,XS
P00297,65+,Northeast,mens_tops,3,XL,M
P00298,35-44,Midwest,womens_bottoms,19,2X,XL
P00299,45-54,Northeast,womens_dresses,16,1X,XL
P00300,45-54,Northeast,womens_dresses,16,M,S
P00301,65+,Midwest,mens_tops,15,XL,L
P00302,45-54,Midwest,womens_bottoms,3,L,L
P00303,55-64,West,mens_tops,11,1X,XL
P00304,65+,Southeast,womens_tops,19,M,XS
P00305,55-64,Southeast,womens_tops,18,XL,L
P00306,25-34,Southeast,mens_tops,17,XL,M
P00307,25-34,West,mens_tops,13,XS,XS
P00308,55-64,West,mens_bottoms,11,L,XS
P00309,55-64,Southwest,mens_bottoms,15,1X,1X
P00310,45-54,Northeast,womens_dresses,21,S,XS
P00311,35-44,Southwest,mens_bottoms,8,1X,1X
P00312,35-44,Southeast,mens_bottoms,24,1X,L
P00313,45-54,Midwest,mens_tops,20,M,S
P00314,45-54,West,mens_bottoms,23,M,M
P00315,25-34,West,womens_tops,14,L,M
P00316,65+,West,mens_bottoms,18,L,M
P00317,65+,Southwest,mens_bottoms,22,3X+,3X+
P00318,25-34,Southeast,mens_tops,12,M,S
P00319,55-64,West,womens_bottoms,23,1X,L
P00320,45-54,Northeast,womens_tops,23,2X,1X
P00321,45-54,Northeast,mens_tops,24,1X,1X
P00322,65+,Southeast,womens_dresses,17,3X+,3X+
P00323,65+,Northeast,womens_dresses,21,1X,L
P00324,45-54,Midwest,mens_bottoms,16,2X,XL
P00325,45-54,Southwest,mens_bottoms,7,1X,XL
P00326,55-64,Northeast,mens_tops,3,XL,L
P00327,45-54,Northeast,mens_tops,6,2X,1X
P00328,65+,Midwest,womens_tops,16,1X,1X
P00329,65+,Southeast,mens_bottoms,16,M,S
P00330,55-64,Midwest,womens_tops,10,XL,L
P00331,55-64,Northeast,womens_tops,13,1X,1X
P00332,35-44,Southwest,mens_bottoms,22,M,XS
P00333,25-34,Southeast,mens_tops,3,L,M
P00334,55-64,Northeast,womens_dresses,21,L,XS
P00335,55-64,West,womens_dresses,17,2X,1X
P00336,35-44,Southeast,womens_tops,3,M,S
P00337,65+,Northeast,womens_tops,20,1X,XL
P00338,45-54,Southeast,womens_dresses,20,L,XS
P00339,65+,Southwest,mens_bottoms,17,L,L
P00340,65+,Midwest,mens_tops,20,M,S
P00341,45-54,Northeast,womens_dresses,21,2X,XL
P00342,25-34,Northeast,womens_dresses,23,XL,M
P00343,65+,West,womens_dresses,10,M,S
P00344,55-64,Midwest,mens_bottoms,14,L,L
P00345,45-54,Southeast,womens_tops,11,S,XS
P00346,45-54,Southwest,mens_tops,24,XL,XL
P00347,65+,Southeast,womens_tops,17,1X,1X
P00348,45-54,Northeast,mens_bottoms,21,2X,1X
P00349,45-54,West,mens_bottoms,18,L,M
P00350,55-64,Southwest,womens_bottoms,22,3X+,3X+
P00351,65+,Southeast,mens_bottoms,16,S,S
P00352,65+,Southeast,womens_bottoms,22,L,L
P00353,25-34,Southwest,mens_tops,22,S,S
P00354,55-64,Southwest,mens_tops,12,M,S
P00355,45-54,Southeast,mens_tops,24,XL,L
P00356,35-44,Southeast,mens_bottoms,8,XL,M
P00357,35-44,Southeast,mens_bottoms,6,L,L
P00358,55-64,Midwest,womens_dresses,22,M,XS
P00359,25-34,Southwest,mens_tops,20,M,S
P00360,35-44,Northeast,womens_bottoms,12,L,S
P00361,35-44,West,womens_bottoms,23,3X+,1X
P00362,65+,Northeast,womens_bottoms,12,L,M
P00363,35-44,Midwest,womens_bottoms,3,1X,XL
P00364,45-54,Southwest,mens_tops,3,3X+,3X+
P00365,65+,Southwest,mens_bottoms,14,M,M
P00366,55-64,Northeast,mens_tops,3,3X+,2X
P00367,65+,Southwest,womens_bottoms,5,2X,XL
P00368,25-34,Northeast,womens_bottoms,8,2X,1X
P00369,35-44,Southwest,womens_dresses,16,XL,XL
P00370,65+,Midwest,mens_bottoms,24,XL,M
P00371,35-44,Midwest,mens_tops,7,L,M
P00372,35-44,Southwest,mens_tops,16,1X,XL
P00373,35-44,Northeast,womens_dresses,12,XL,S
P00374,35-44,Northeast,womens_dresses,19,2X,XL
P00375,45-54,West,womens_dresses,16,1X,L
P00376,55-64,West,womens_tops,21,L,S
P00377,55-64,Southwest,mens_bottoms,8,XL,L
P00378,55-64,Southeast,mens_tops,11,2X,2X
P00379,55-64,Southwest,womens_dresses,15,M,XS
P00380,45-54,Southeast,womens_dresses,24,M,XS
P00381,55-64,Southwest,womens_bottoms,17,XS,XS
P00382,45-54,Southeast,womens_tops,23,S,XS
P00383,25-34,Southeast,womens_tops,5,XL,XL
P00384,45-54,Midwest,womens_tops,10,L,M
P00385,45-54,Southeast,womens_bottoms,16,1X,L
P00386,65+,Northeast,mens_bottoms,5,M,XS
P00387,45-54,Northeast,mens_bottoms,12,XL,L
P00388,45-54,Southwest,womens_bottoms,15,L,M
P00389,35-44,Southwest,womens_dresses,5,1X,1X
P00390,65+,Midwest,mens_bottoms,4,XL,L
P00391,65+,Southeast,womens_dresses,23,1X,L
P00392,65+,West,mens_tops,11,2X,XL
P00393,55-64,West,womens_bottoms,18,2X,XL
P00394,65+,West,mens_bottoms,22,XL,S
P00395,65+,Southwest,womens_bottoms,12,1X,L
P00396,35-44,Southeast,mens_tops,15,M,S
P00397,35-44,West,mens_bottoms,9,S,S
P00398,45-54,Northeast,mens_bottoms,21,XL,L
P00399,25-34,Midwest,womens_tops,14,S,XS
P00400,35-44,Southeast,mens_tops,9,L,M
P00401,25-34,Northeast,mens_tops,4,L,M
P00402,25-34,Southeast,womens_dresses,9,3X+,3X+
P00403,55-64,Northeast,womens_bottoms,7,L,M
P00404,55-64,Northeast,womens_tops,22,1X,XL
P00405,55-64,Midwest,mens_bottoms,6,XL,XL
P00406,35-44,Southeast,womens_bottoms,4,XL,M
P00407,55-64,West,womens_bottoms,23,1X,1X
P00408,25-34,Southwest,womens_dresses,18,M,S
P00409,35-44,Southwest,mens_bottoms,15,S,XS
P00410,25-34,Midwest,mens_tops,17,XL,L
P00411,55-64,Southeast,mens_bottoms,7,XL,M
P00412,45-54,West,mens_tops,21,1X,M
P00413,55-64,Midwest,mens_bottoms,20,L,S
P00414,45-54,Southwest,mens_bottoms,16,M,XS
P00415,25-34,Midwest,womens_dresses,20,L,M
P00416,45-54,Northeast,mens_bottoms,17,M,XS
P00417,35-44,Midwest,womens_dresses,24,1X,1X
P00418,55-64,Southeast,mens_tops,6,3X+,2X
P00419,45-54,West,mens_tops,23,XL,S
P00420,35-44,Southeast,womens_dresses,12,XL,XL
P00421,35-44,Northeast,womens_bottoms,21,L,L
P00422,65+,Southeast,mens_tops,24,L,S
P00423,65+,Southwest,mens_tops,10,L,M
P00424,55-64,Northeast,womens_dresses,6,L,M
P00425,65+,Southeast,womens_dresses,24,2X,1X
P00426,35-44,Southeast,womens_tops,7,2X,1X
P00427,35-44,Northeast,mens_bottoms,5,XL,XL
P00428,35-44,West,womens_tops,3,L,L
P00429,65+,Southeast,womens_dresses,23,1X,L
P00430,25-34,Southwest,womens_dresses,23,3X+,2X
P00431,65+,West,womens_bottoms,7,S,XS
P00432,25-34,Northeast,womens_bottoms,3,XL,XL
P00433,45-54,Southeast,womens_tops,6,XL,XL
P00434,35-44,Southeast,womens_bottoms,23,2X,XL
P00435,25-34,West,mens_tops,24,L,M
P00436,35-44,Northeast,womens_tops,16,3X+,1X
P00437,25-34,Southwest,womens_dresses,14,2X,1X
P00438,65+,Northeast,womens_tops,13,2X,2X
P00439,55-64,West,womens_bottoms,9,XL,XL
P00440,25-34,West,mens_bottoms,12,M,S
P00441,65+,Northeast,mens_tops,23,XL,M
P00442,55-64,West,womens_bottoms,4,XL,XL
P00443,55-64,Midwest,womens_bottoms,5,L,M
P00444,35-44,Southwest,womens_bottoms,6,1X,XL
P00445,65+,West,womens_tops,17,S,XS
P00446,45-54,Northeast,womens_dresses,17,2X,XL
P00447,25-34,West,womens_dresses,24,XL,XL
P00448,65+,Northeast,womens_bottoms,24,2X,1X
P00449,25-34,Southwest,womens_dresses,5,2X,1X
P00450,25-34,Midwest,mens_tops,22,3X+,1X
P00451,35-44,West,womens_tops,5,1X,XL
P00452,55-64,Northeast,womens_bottoms,14,1X,XL
P00453,65+,Southeast,womens_tops,11,1X,1X
P00454,55-64,West,womens_dresses,12,M,S
P00455,25-34,Southeast,mens_tops,23,XL,M
P00456,45-54,Midwest,womens_tops,7,L,M
P00457,65+,Southeast,womens_dresses,4,1X,1X
P00458,25-34,Midwest,womens_dresses,9,1X,L
P00459,45-54,Southwest,mens_tops,17,1X,XL
P00460,65+,Southeast,womens_bottoms,23,L,M
P00461,25-34,Midwest,mens_tops,9,3X+,2X
P00462,65+,Northeast,womens_dresses,8,L,L
P00463,45-54,Midwest,womens_dresses,12,L,L
P00464,25-34,Southeast,mens_tops,22,L,S
P00465,55-64,Southwest,womens_dresses,22,L,S
P00466,55-64,West,womens_dresses,10,M,XS
P00467,55-64,Northeast,womens_tops,23,M,S
P00468,25-34,Southwest,mens_bottoms,5,XL,XL
P00469,35-44,Southeast,womens_dresses,5,2X,2X
P00470,55-64,Midwest,womens_bottoms,11,2X,1X
P00471,65+,Midwest,womens_tops,21,2X,1X
P00472,45-54,Southeast,mens_bottoms,23,XL,M
P00473,35-44,Southwest,womens_tops,18,XL,L
P00474,45-54,Southwest,mens_bottoms,18,2X,2X
P00475,65+,Northeast,mens_tops,23,M,S
P00476,65+,Northeast,mens_bottoms,18,XL,M
P00477,35-44,West,mens_bottoms,12,XL,L
P00478,25-34,Southeast,mens_tops,4,XL,XL
P00479,45-54,Northeast,womens_dresses,18,L,L
P00480,25-34,Southeast,womens_tops,5,3X+,1X
P00481,45-54,Northeast,womens_dresses,13,2X,XL
P00482,35-44,Southeast,mens_bottoms,22,2X,XL
P00483,45-54,Southeast,mens_tops,20,3X+,1X
P00484,45-54,Midwest,mens_bottoms,15,XS,XS
P00485,25-34,Midwest,mens_bottoms,12,M,XS
P00486,45-54,West,womens_dresses,22,S,XS
P00487,65+,Midwest,mens_bottoms,5,XL,M
P00488,25-34,Southwest,womens_bottoms,12,M,S
P00489,45-54,Southwest,mens_tops,4,3X+,2X
P00490,55-64,West,womens_bottoms,7,L,L
P00491,25-34,Southwest,mens_tops,15,XL,M
P00492,25-34,Northeast,womens_tops,7,M,M
P00493,65+,Midwest,womens_dresses,21,2X,1X
P00494,25-34,Midwest,womens_bottoms,15,XL,S
P00495,65+,Southwest,mens_tops,4,XL,L
P00496,25-34,Midwest,womens_bottoms,7,1X,L
P00497,55-64,Northeast,womens_bottoms,9,3X+,2X
P00498,65+,West,womens_bottoms,12,M,M
P00499,25-34,Northeast,womens_dresses,20,XL,M
P00500,45-54,West,womens_tops,8,L,S
P00501,55-64,West,mens_bottoms,13,L,L
P00502,25-34,Southwest,womens_tops,15,L,M
P00503,25-34,Southwest,womens_tops,5,3X+,3X+
P00504,45-54,Midwest,womens_tops,4,M,XS
P00505,55-64,Southwest,womens_tops,8,XL,XL
P00506,35-44,Midwest,mens_bottoms,24,XL,M
P00507,55-64,Southeast,womens_dresses,18,L,S
P00508,55-64,Northeast,mens_tops,8,XL,M
P00509,45-54,West,womens_tops,4,M,XS
P00510,25-34,Northeast,mens_tops,8,M,S
P00511,45-54,Southwest,mens_tops,6,M,S
P00512,55-64,West,mens_tops,6,S,XS
P00513,65+,Northeast,mens_bottoms,6,L,S
P00514,45-54,West,womens_bottoms,17,S,XS
P00515,25-34,Northeast,mens_bottoms,12,2X,1X
P00516,55-64,Southeast,womens_tops,18,L,M
P00517,45-54,Northeast,mens_bottoms,6,L,L
P00518,65+,Southwest,womens_bottoms,5,3X+,3X+
P00519,55-64,Southeast,mens_bottoms,5,L,L
P00520,25-34,West,womens_bottoms,13,XL,M
P00521,65+,West,mens_tops,12,XS,XS
P00522,25-34,West,womens_bottoms,11,3X+,1X
P00523,25-34,Southwest,womens_dresses,15,L,M
P00524,65+,Northeast,mens_bottoms,18,2X,1X
P00525,65+,West,mens_bottoms,21,3X+,3X+
P00526,35-44,Midwest,womens_bottoms,20,M,S
P00527,45-54,Southeast,mens_bottoms,20,1X,1X
P00528,25-34,Midwest,mens_bottoms,16,2X,1X
